"global_id";"ID";"Name";"OnTerritoryOfMoscow";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"VestibuleType";"NameOfStation";"Line";"CulturalHeritageSiteStatus";"ModeOnEvenDays";"ModeOnOddDays";"FullFeaturedBPAAmount";"LittleFunctionalBPAAmount";"BPAAmount";"RepairOfEscalators";"ObjectStatus";
"global_id";"Локальный идентификатор";"Наименование";"На территории Москвы";"Административный округ";"Район";"Долгота в WGS-84";"Широта в WGS-84";"Тип вестибюля";"Станция метрополитена";"Линия";"Статус объекта культурного наследия";"Режим работы по чётным дням";"Режим работы по нечётным дням";"Количество полнофункциональных БПА (все типы билетов)";"Количество малофункциональных БПА (билеты на 1 и 2 поездки)";"Общее количество БПА";"Ремонт эскалаторов";"Статус объекта";
"1773539";"331";"Китай-город, вход-выход 5 в северный вестибюль";"да";"Центральный административный округ";"Басманный район";"37.6316766";"55.7573154";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773540";"327";"Китай-город, вход-выход 4 в северный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.631205";"55.756855";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773541";"330";"Китай-город, вход-выход 6 в северный вестибюль";"да";"Центральный административный округ";"Басманный район";"37.6319506";"55.7572362";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773542";"322";"Китай-город, вход-выход 14 в южный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.633082";"55.753098";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773543";"321";"Китай-город, вход-выход 12 в южный вестибюль";"да";"Центральный административный округ";"Таганский район";"37.633559";"55.753072";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773544";"317";"Китай-город, вход-выход 10 из южного вестибюля";"да";"Центральный административный округ";"Тверской район";"37.6341765";"55.7541345";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773545";"318";"Китай-город, вход-выход 9 в южный вестибюль";"да";"Центральный административный округ";"Басманный район";"37.634966";"55.754114";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773546";"325";"Китай-город, вход-выход 2 в северный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.629468";"55.756640";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773547";"280";"Калужская, вход-выход 5 в южный вестибюль";"да";"Юго-Западный административный округ";"район Коньково";"37.5392381";"55.6553856";"подземный";"Калужская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"2";"3";"5";"nested data";"действует";
